Participant,Session,Delay,Environment,Block,Trial,TwoDTrial,Visible,TrialTime,RewardY,RewardX,RewardFound,RewardType
12,Train,Short,3,4,9,0,1,3.315427,NA,NA,1,F
12,Train,Short,3,4,10,0,1,3.923944,NA,NA,1,F
12,Train,Short,3,4,11,0,1,4.072785,NA,NA,1,F
12,Train,Short,3,4,12,0,1,2.476124,NA,NA,1,F
12,Train,Short,3,5,1,0,0,11.08034,NA,NA,1,F
12,Train,Short,3,5,3,0,0,8.619404,NA,NA,1,F
12,Train,Short,3,5,9,0,0,8.749381,NA,NA,1,F
12,Train,Short,3,5,16,0,0,5.08917,NA,NA,1,F
12,Train,Short,3,5,17,0,0,3.683364,NA,NA,1,F
12,Train,Short,3,5,18,0,0,5.794086,NA,NA,1,F
12,Train,Short,3,5,21,0,0,13.81177,NA,NA,1,F
12,Train,Short,3,6,1,0,1,3.664572,NA,NA,1,W
12,Train,Short,3,6,2,0,1,2.602371,NA,NA,1,W
12,Train,Short,3,6,3,0,1,2.525631,NA,NA,1,W
12,Train,Short,3,6,4,0,1,4.151814,NA,NA,1,W
12,Train,Short,3,6,5,0,1,5.032743,NA,NA,1,W
12,Train,Short,3,6,6,0,1,6.229564,NA,NA,1,W
12,Train,Short,3,6,7,0,1,5.229137,NA,NA,1,W
12,Train,Short,3,6,8,0,1,2.443632,NA,NA,1,W
12,Train,Short,3,6,9,0,1,5.346832,NA,NA,1,W
12,Train,Short,3,6,10,0,1,5.841551,NA,NA,1,W
12,Train,Short,3,6,11,0,1,3.812606,NA,NA,1,W
12,Train,Short,3,6,12,0,1,3.782486,NA,NA,1,W
12,Train,Short,3,7,5,0,0,14.53146,NA,NA,1,W
12,Train,Short,3,7,6,0,0,12.66723,NA,NA,1,W
12,Train,Short,3,7,10,0,0,11.77534,NA,NA,1,W
12,Train,Short,3,7,13,0,0,10.59934,NA,NA,1,W
12,Train,Short,3,7,14,0,0,12.92706,NA,NA,1,W
12,Train,Short,3,7,15,0,0,14.03588,NA,NA,1,W
12,Train,Short,3,8,1,0,1,6.712624,NA,NA,1,M
12,Train,Short,3,8,2,0,1,5.89943,NA,NA,1,M
12,Train,Short,3,8,3,0,1,5.573574,NA,NA,1,M
12,Train,Short,3,8,4,0,1,4.239974,NA,NA,1,M
12,Train,Short,3,8,5,0,1,5.352637,NA,NA,1,M
12,Train,Short,3,8,6,0,1,2.30512,NA,NA,1,M
12,Train,Short,3,8,7,0,1,4.524667,NA,NA,1,M
12,Train,Short,3,8,8,0,1,4.895693,NA,NA,1,M
12,Train,Short,3,8,9,0,1,8.102969,NA,NA,1,M
12,Train,Short,3,8,10,0,1,6.684091,NA,NA,1,M
12,Train,Short,3,8,11,0,1,7.331355,NA,NA,1,M
12,Train,Short,3,8,12,0,1,8.002814,NA,NA,1,M
12,Train,Short,3,9,1,0,0,3.812241,NA,NA,1,M
12,Train,Short,3,9,2,0,0,6.11608,NA,NA,1,M
12,Train,Short,3,9,3,0,0,6.230778,NA,NA,1,M
12,Train,Short,3,9,5,0,0,3.914327,NA,NA,1,M
12,Train,Short,3,9,6,0,0,8.453628,NA,NA,1,M
12,Train,Short,3,9,11,0,0,8.189833,NA,NA,1,M
12,Train,Short,3,9,14,0,0,4.9852,NA,NA,1,M
12,Train,Short,3,10,2,0,1,5.405495,NA,NA,1,F
12,Train,Short,3,10,4,0,0,10.29529,NA,NA,1,W
12,Train,Short,3,10,5,0,1,4.188669,NA,NA,1,W
12,Train,Short,3,10,8,0,1,5.362057,NA,NA,1,M
12,Train,Short,3,10,9,0,0,10.65829,NA,NA,1,W
12,Train,Short,3,10,10,0,0,7.685459,NA,NA,1,F
12,Train,Short,3,10,11,0,0,6.432459,NA,NA,1,F
12,Train,Short,3,10,12,0,0,4.440272,NA,NA,1,W
12,Train,Short,3,10,13,0,0,14.74274,NA,NA,1,W
12,Train,Short,3,10,16,0,0,7.197719,NA,NA,1,F
12,Train,Short,3,10,18,0,0,6.726373,NA,NA,1,F
12,Train,Short,3,10,20,0,0,12.06272,NA,NA,1,F
12,Train,Short,3,10,21,0,0,4.160564,NA,NA,1,M
12,Train,Short,3,10,22,0,0,12.50519,NA,NA,1,F
12,Train,Short,3,10,23,0,0,8.831291,NA,NA,1,M
12,Train,Short,3,10,25,0,0,8.809075,NA,NA,1,W
12,Train,Short,3,10,26,0,0,5.615303,NA,NA,1,W
12,Train,Short,3,10,29,0,0,7.677534,NA,NA,1,M
12,Train,Short,3,10,30,0,0,7.348574,NA,NA,1,F
12,Train,Short,3,10,31,0,0,4.424162,NA,NA,1,M
12,Train,Short,3,10,34,0,0,3.962257,NA,NA,1,W
